,Film,Year,Award,Nomination
316,"Monsters, Inc.",2001,1,4
317,Pearl Harbor,2001,1,4
318,Iris,2001,1,3
319,Shrek,2001,1,2
320,Training Day,2001,1,2
321,Monster's Ball,2001,1,2
322,Thoth,2001,1,1
323,For the Birds,2001,1,1
324,No Man's Land,2001,1,1
325,Murder on a Sunday Morning,2001,1,1
326,The Accountant,2001,1,1
327,Gladiator,2000,5,12
328,"Crouching Tiger, Hidden Dragon",2000,4,10
329,Traffic,2000,4,5
330,Erin Brockovich,2000,1,5
331,Almost Famous,2000,1,4
332,Wonder Boys,2000,1,3
333,How the Grinch Stole Christmas,2000,1,3
334,U-571,2000,1,2
335,Pollock,2000,1,2
336,Father and Daughter,2000,1,1
337,Into the Arms of Strangers: Stories of the Kindertransport,2000,1,1
338,Quiero ser (I want to be...),2000,1,1
339,Big Mama,2000,1,1
340,American Beauty,1999,5,8
341,The Matrix,1999,4,4
342,The Cider House Rules,1999,2,7
343,Topsy-Turvy,1999,2,4
344,Sleepy Hollow,1999,1,3
345,Boys Don't Cry,1999,1,2
346,Tarzan,1999,1,1
347,One Day in September,1999,1,1
348,The Red Violin,1999,1,1
349,The Old Man and the Sea,1999,1,1
350,My Mother Dreams the Satan's Disciples in New York,1999,1,1
351,King Gimp,1999,1,1
352,"Girl, Interrupted",1999,1,1
353,All About My Mother,1999,1,1
354,Shakespeare in Love,1998,7,13
355,Saving Private Ryan,1998,5,11
356,Life Is Beautiful,1998,3,7
357,Elizabeth,1998,1,7
358,Gods and Monsters,1998,1,3
359,The Prince of Egypt,1998,1,2
360,Affliction,1998,1,2
361,What Dreams May Come,1998,1,2
362,The Personals,1998,1,1
363,The Last Days,1998,1,1
364,Election Night,1998,1,1
365,Bunny,1998,1,1
366,Titanic,1997,11,14
367,Good Will Hunting,1997,2,9
368,L.A. Confidential,1997,2,9
369,As Good as It Gets,1997,2,7
370,The Full Monty,1997,1,4
371,Men in Black,1997,1,3
372,Visas and Virtue,1997,1,1
373,Character,1997,1,1
374,Geri's Game,1997,1,1
375,A Story of Healing,1997,1,1
376,The Long Way Home,1997,1,1
377,The English Patient,1996,9,12
378,Fargo,1996,2,7
379,Shine,1996,1,7
380,Evita,1996,1,5
381,Jerry Maguire,1996,1,5
382,Independence Day,1996,1,2
383,Emma,1996,1,2
384,Sling Blade,1996,1,2
385,The Ghost and the Darkness,1996,1,1
386,Kolya,1996,1,1
387,The Nutty Professor,1996,1,1
388,Quest,1996,1,1
389,When We Were Kings,1996,1,1
390,Breathing Lessons: The Life and Work of Mark O'Brien,1996,1,1
391,Dear Diary,1996,1,1
392,Braveheart,1995,5,10
393,Apollo 13,1995,2,9
394,Pocahontas,1995,2,2
395,The Usual Suspects,1995,2,2
396,Restoration,1995,2,2
397,Babe,1995,1,7
398,Sense and Sensibility,1995,1,7
399,Il Postino: The Postman,1995,1,5
400,Dead Man Walking,1995,1,4
401,Leaving Las Vegas,1995,1,4
402,Mighty Aphrodite,1995,1,2
403,Anne Frank Remembered,1995,1,1
404,A Close Shave,1995,1,1
405,Lieberman in Love,1995,1,1
406,One Survivor Remembers,1995,1,1
407,Antonia's Line,1995,1,1
408,Toy Story,1995,0,3
409,Forrest Gump,1994,6,13
410,The Lion King,1994,2,4
411,Speed,1994,2,3
412,Ed Wood,1994,2,2
413,Pulp Fiction,1994,1,7
414,Bullets Over Broadway,1994,1,7
415,The Madness of King George,1994,1,4
416,Legends of the Fall,1994,1,3
417,A Time for Justice,1994,1,1
